country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Domestic Aviation,Ground Transport,Industry,Power,Residential,Country,Agriculture,Building,Bunker Fuels,Electricity/Heat,Energy,Fugitive Emissions,Industrial Processes,Land-Use Change and Forestry,Manufacturing/Construction,Other Fuel Combustion,Total excluding LUCF,Total including LUCF,Transportation,Waste
Brazil,2020-02-15,5.0,4.0,-5.0,8.0,6.0,0.0,0.02364028,0.53604779,0.35121338,0.15355284,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-16,2.0,3.0,-13.0,3.0,0.0,1.0,0.02176754,0.4211522,0.33937877,0.14837867,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-17,-2.0,0.0,-12.0,9.0,19.0,-1.0,0.02504543,0.57523153,0.34849302,0.15236348,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-18,-3.0,-1.0,-11.0,9.0,15.0,-1.0,0.0254058,0.58126119,0.34634407,0.15142394,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-19,-1.0,-2.0,-5.0,8.0,14.0,-1.0,0.02540529,0.58516507,0.36213177,0.15832643,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-20,1.0,7.0,2.0,11.0,15.0,-2.0,0.02647623,0.58312823,0.37839733,0.16543784,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-21,2.0,10.0,1.0,12.0,13.0,-1.0,0.0269954,0.57895454,0.36074674,0.15772088,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-22,-3.0,6.0,12.0,6.0,-4.0,0.0,0.02565937,0.52713069,0.33211272,0.1452019,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-23,4.0,7.0,32.0,2.0,-3.0,1.0,0.01602476,0.35896312,0.3384156,0.14795756,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-24,-14.0,-7.0,69.0,-27.0,-45.0,8.0,0.01558656,0.46660596,0.33407223,0.14605861,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-25,-31.0,-29.0,51.0,-35.0,-61.0,10.0,0.01929594,0.355664,0.34210099,0.14956884,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-26,-18.0,-11.0,-8.0,-17.0,-18.0,6.0,0.02559963,0.46678932,0.34125126,0.14919733,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-27,-8.0,2.0,-11.0,1.0,10.0,1.0,0.02450469,0.56276609,0.35351818,0.15456051,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-28,-5.0,3.0,-17.0,2.0,13.0,1.0,0.02367886,0.56794942,0.37531421,0.16408988,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-02-29,-3.0,5.0,-23.0,-2.0,5.0,3.0,0.02289938,0.51195969,0.30291199,0.13243515,0.10753653,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-01,-9.0,3.0,-34.0,-10.0,-1.0,5.0,0.02132036,0.38242644,0.33132424,0.12481255,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-02,-6.0,1.0,-25.0,6.0,20.0,0.0,0.02496143,0.57471895,0.31825569,0.11988952,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-03,-5.0,2.0,-21.0,6.0,15.0,-1.0,0.02417387,0.5804266,0.29389108,0.11071117,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-04,-1.0,2.0,-11.0,7.0,16.0,-1.0,0.02439034,0.57916267,0.2547018,0.09594825,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-05,0.0,7.0,-5.0,10.0,18.0,-2.0,0.02487726,0.5808819000000001,0.25460004,0.09590992,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-06,6.0,11.0,-7.0,13.0,18.0,-2.0,0.0252183,0.58176323,0.25057838,0.09439492,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-07,9.0,13.0,-14.0,8.0,7.0,0.0,0.02340593,0.5340322,0.30710627,0.11568944,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-08,8.0,11.0,-17.0,2.0,3.0,1.0,0.02147137,0.40958662,0.32093853,0.12090017,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-09,1.0,5.0,-12.0,12.0,21.0,-2.0,0.02527364,0.57240641,0.32938018,0.12408021,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-10,0.0,5.0,-11.0,11.0,17.0,-2.0,0.02504163,0.57833394,0.32529541,0.12254144,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-11,1.0,2.0,-6.0,10.0,17.0,-1.0,0.02474676,0.57826722,0.36559405,0.13772226,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-12,-2.0,4.0,-5.0,10.0,17.0,-2.0,0.02549863,0.57884353,0.38444959999999995,0.14482531,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-13,0.0,7.0,-8.0,10.0,18.0,-2.0,0.02581408,0.578378,0.44250066,0.16669361,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-14,-2.0,7.0,-15.0,0.0,6.0,1.0,0.02388204,0.49604303,0.42346322,0.15952205,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-15,-8.0,7.0,-21.0,-7.0,0.0,3.0,0.02167713,0.40828990000000004,0.40942285,0.15423293,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-16,-11.0,6.0,-23.0,-4.0,14.0,1.0,0.02419615,0.54957127,0.42973126,0.16188328,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-17,-19.0,7.0,-28.0,-15.0,3.0,4.0,0.02196676,0.54438435,0.44300043,0.16688188,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-18,-25.0,5.0,-28.0,-22.0,-6.0,7.0,0.01982458,0.52101193,0.37970242,0.143037,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-19,-36.0,2.0,-34.0,-31.0,-17.0,10.0,0.01928098,0.49851957,0.38154955,0.14373283,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-20,-45.0,0.0,-45.0,-37.0,-21.0,13.0,0.01937806,0.49851957,0.38089047,0.14348455,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-21,-63.0,-16.0,-66.0,-50.0,-30.0,16.0,0.01879876,0.32920476,0.34531206,0.13008187,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-22,-72.0,-33.0,-75.0,-60.0,-34.0,17.0,0.01279873,0.10903039,0.34189021,0.12879283,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-23,-65.0,-26.0,-61.0,-58.0,-42.0,20.0,0.01020162,0.38380427,0.38048885,0.14333326,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
Brazil,2020-03-24,-71.0,-33.0,-62.0,-63.0,-51.0,22.0,0.00738751,0.38099965,0.35660668,0.13433665,0.10059869,Brazil,426.32962960000003,19.66666667,12.49259259,57.50740741,337.2722222,7.04,25.69444444,764.9162963,77.87037037,35.79666667,839.6707407,1604.585926,139.4296296,50.37481481
