country,date,Domestic Aviation,Ground Transport,Industry,Power,Residential
Brazil,2019-01-01,0.01895117,0.23373342,0.27519034,0.09414304,0.10059869
Brazil,2019-01-02,0.0262564,0.39546035,0.31272411,0.10698341,0.10059869
Brazil,2019-01-03,0.02663748,0.48525911,0.30710227,0.10506017,0.10059869
Brazil,2019-01-04,0.02621557,0.51380778,0.28207259,0.09649747,0.10059869
Brazil,2019-01-05,0.02490078,0.43010174,0.30041598,0.10277277,0.10059869
Brazil,2019-01-06,0.02366818,0.30471572,0.30388996,0.10396123,0.10059869
Brazil,2019-01-07,0.02616628,0.53252673,0.29034587,0.09932778,0.10059869
Brazil,2019-01-08,0.02597041,0.54806227,0.29629753,0.10136385,0.10059869
Brazil,2019-01-09,0.02604726,0.54514523,0.29761295,0.10181385,0.10059869
Brazil,2019-01-10,0.02744654,0.54943423,0.30468072,0.10423175,0.10059869
Brazil,2019-01-11,0.02269899,0.57257559,0.30070255,0.10287081,0.10059869
Brazil,2019-01-12,0.02568,0.49632965,0.31748319,0.1086115,0.10059869
Brazil,2019-01-13,0.02365359,0.34614716,0.27118039,0.09277123,0.10059869
Brazil,2019-01-14,0.02612948,0.54472235,0.3655945,0.12507045,0.10059869
Brazil,2019-01-15,0.02673735,0.56444219,0.36263263,0.12405719,0.10059869
Brazil,2019-01-16,0.02301963,0.56994969,0.41024485,0.1403454,0.10059869
Brazil,2019-01-17,0.02621881,0.55995288,0.4201692,0.14374054,0.10059869
Brazil,2019-01-18,0.02640544,0.57430886,0.41559378,0.14217528,0.10059869
Brazil,2019-01-19,0.02472765,0.53269188,0.24134848,0.08256569,0.10059869
Brazil,2019-01-20,0.02333515,0.44532585,0.23019987,0.07875173,0.10059869
Brazil,2019-01-21,0.0254062,0.56887931,0.3279999,0.11220928,0.10059869
Brazil,2019-01-22,0.02630183,0.57525842,0.35557974,0.12164438,0.10059869
Brazil,2019-01-23,0.02532202,0.57570236,0.42738739,0.14620989,0.10059869
Brazil,2019-01-24,0.02574812,0.57964828,0.42266903,0.14459573,0.10059869
Brazil,2019-01-25,0.0250975,0.57497227,0.36595422,0.12519351,0.10059869
Brazil,2019-01-26,0.02345681,0.52319864,0.3980101,0.13615987,0.10059869
Brazil,2019-01-27,0.02271053,0.43286592,0.38050416,0.13017107,0.10059869
Brazil,2019-01-28,0.02140242,0.57067438,0.40237469,0.13765301,0.10059869
Brazil,2019-01-29,0.02558099,0.57514548,0.45795104,0.15666577,0.10059869
Brazil,2019-01-30,0.02535509,0.57671206,0.46969088,0.16068198,0.10059869
Brazil,2019-01-31,0.02606207,0.57853495,0.4958962,0.16964686,0.10059869
Brazil,2019-02-01,0.02521969,0.57869444,0.36011047,0.17233206,0.11137712
Brazil,2019-02-02,0.0234471,0.53424379,0.34513887,0.16516736,0.11137712
Brazil,2019-02-03,0.0219097,0.43768909,0.3573596,0.17101562,0.11137712
Brazil,2019-02-04,0.02376015,0.57297949,0.38057329,0.18212461,0.11137712
Brazil,2019-02-05,0.02427281,0.57615079,0.40309042,0.19290026,0.11137712
Brazil,2019-02-06,0.02352182,0.5804175,0.39070211,0.18697179,0.11137712
Brazil,2019-02-07,0.02383594,0.57793943,0.3655071,0.17491464,0.11137712
Brazil,2019-02-08,0.0244859,0.58089089,0.34081597,0.16309861,0.11137712
Brazil,2019-02-09,0.02220746,0.53716813,0.32799849,0.15696477,0.11137712
Brazil,2019-02-10,0.0196215,0.44052402,0.33162163,0.15869863,0.11137712
Brazil,2019-02-11,0.02345396,0.57443079,0.3582437,0.17143871,0.11137712
Brazil,2019-02-12,0.02386472,0.57569657,0.36485457,0.17460237,0.11137712
Brazil,2019-02-13,0.02376615,0.56987085,0.41960094,0.20080142,0.11137712
Brazil,2019-02-14,0.0242065,0.57637004,0.4508795,0.21576988,0.11137712
Brazil,2019-02-15,0.0238336,0.58306242,0.46695191,0.22346139,0.11137712
Brazil,2019-02-16,0.02158654,0.53873543,0.45583638,0.21814202,0.11137712
Brazil,2019-02-17,0.01779825,0.43503151,0.4540871,0.21730489,0.11137712
